applicant_id,customer_id,name,ssn,dob,phone_number,home_address,age,declared_income_monthly,loan_amount,purpose,target_scenario
APP-001,CU-001,Liam Smith,960-24-6191,01-05-1976,-7853,"566 Oak Ave, Los Angeles, CA 47194",50,949535,2636955,Used Car Loan,Prime
APP-002,CU-002,Olivia Jones,413-31-7396,19-05-1982,-11372,"2658 Pine Rd, Chicago, IL 28431",44,696065,2900030,Used Car Loan,Prime
APP-003,CU-003,Noah Brown,940-48-6393,18-04-1969,-10819,"7613 Oak Ave, Los Angeles, CA 78148",57,1146310,3271055,Business Venture,Prime
APP-004,CU-004,Emma Davis,101-15-4843,26-08-1983,-9450,"261 Maple Dr, Houston, TX 47065",43,1097435,2255390,Used Car Loan,Prime
APP-005,CU-005,Oliver Miller,863-69-9571,01-03-1973,-7207,"164 Washington Blvd, San Antonio, TX 58984",53,1126080,1447295,Debt Consolidation,Prime
APP-006,CU-006,Ava Wilson,872-50-4099,01-03-1994,-4837,"2554 Lakeview Dr, San Diego, CA 87373",32,912135,2207025,Major Purchase,Prime
APP-007,CU-007,Elijah Moore,317-23-7938,13-04-1990,-7131,"7821 Oak Ave, Los Angeles, CA 33419",36,1309680,2019175,Business Venture,Prime
APP-008,CU-008,Charlotte Taylor,342-95-6915,03-09-1971,-5350,"3727 Maple Dr, Houston, TX 35939",55,853230,2610095,Major Purchase,Prime
APP-009,CU-009,James Anderson,555-36-5413,27-01-1977,-2962,"8094 Washington Blvd, San Antonio, TX 71087",49,1124720,2825145,Emergency Expenses,Prime
APP-010,CU-010,Sophia Thomas,101-11-1854,02-04-1991,-8886,"5349 Pine Rd, Chicago, IL 97092",35,1150475,1694135,Debt Consolidation,Prime
APP-011,CU-011,Benjamin Jackson,610-25-9800,09-04-1969,-6004,"2611 Elm St, Philadelphia, PA 25708",57,1283330,2485655,Emergency Expenses,Prime
APP-012,CU-012,Isabella White,739-48-3385,05-05-1994,-10972,"6716 Main St, New York, NY 57254",32,702270,2471375,Debt Consolidation,Prime
APP-013,CU-013,Lucas Harris,108-28-3255,14-02-1980,-8227,"9988 Elm St, Philadelphia, PA 22183",46,1150815,2094145,Major Purchase,Prime
APP-014,CU-014,Mia Martin,805-63-1956,06-06-1989,-7938,"4593 Main St, New York, NY 96831",37,1126590,1378530,Home Improvement,Prime
APP-015,CU-015,Henry Thompson,662-63-6895,06-05-1969,-1932,"4993 Cedar Ln, Phoenix, AZ 49790",57,1359660,2040595,Business Venture,Prime
APP-016,CU-016,Amelia Garcia,991-46-3327,26-06-2000,-2544,"706 Cedar Ln, Phoenix, AZ 76235",26,423300,1102875,Major Purchase,Thin Credit
APP-017,CU-017,Alexander Martinez,971-55-4863,26-07-2003,-6325,"1786 Elm St, Philadelphia, PA 45777",23,406640,1538160,Major Purchase,Thin Credit
APP-018,CU-018,Harper Robinson,917-34-9716,10-04-1999,-6719,"2468 Maple Dr, Houston, TX 87575",27,422535,1360170,Major Purchase,Thin Credit
APP-019,CU-019,Mason Clark,882-63-3491,10-02-2001,-5398,"3151 Maple Dr, Houston, TX 58747",25,405705,924460,Emergency Expenses,Thin Credit
APP-020,CU-020,Evelyn Rodriguez,758-26-9311,08-09-2004,-7965,"9661 Washington Blvd, San Antonio, TX 42217",22,504135,1632340,Emergency Expenses,Thin Credit
APP-021,CU-021,Michael Lewis,984-10-4343,14-01-2003,-2870,"7104 Elm St, Philadelphia, PA 69638",23,482715,1148010,Business Venture,Thin Credit
APP-022,CU-022,Abigail Lee,552-85-7617,02-07-1999,-9591,"4552 Elm St, Philadelphia, PA 36646",27,551565,1684955,Emergency Expenses,Thin Credit
APP-023,CU-023,Ethan Walker,995-41-1851,19-02-2000,-5178,"4100 Main St, New York, NY 80588",26,449735,1530170,Debt Consolidation,Thin Credit
APP-024,CU-024,Emily Hall,134-96-9967,24-09-2003,-3021,"8908 Pine Rd, Chicago, IL 30358",23,468860,885020,Home Improvement,Thin Credit
APP-025,CU-025,Daniel Allen,788-45-6073,19-11-2004,-8963,"3540 Elm St, Philadelphia, PA 30150",22,414120,1352945,Major Purchase,Thin Credit
APP-026,CU-026,Elizabeth Young,711-21-8400,23-05-2003,-4240,"817 Maple Dr, Houston, TX 61934",23,458150,1558475,Debt Consolidation,Thin Credit
APP-027,CU-027,Jacob King,138-62-6161,10-08-2002,-6710,"7430 Cedar Ln, Phoenix, AZ 48102",24,403750,1422135,Debt Consolidation,Thin Credit
APP-028,CU-028,Sofia Wright,894-75-2540,07-06-2004,-7132,"9680 Pine Rd, Chicago, IL 36432",22,383350,1486990,Debt Consolidation,Thin Credit
APP-029,CU-029,Logan Scott,813-28-5268,12-10-2004,-6513,"6719 Oak Ave, Los Angeles, CA 67799",22,546890,892840,Major Purchase,Thin Credit
